Frame,Environment,TP,FP,FN,Precision,Recall
199,narrow,0,0,0,0,0
200,narrow,0,0,0,0,0
201,narrow,0,0,0,0,0
202,narrow,0,0,0,0,0
203,narrow,0,0,0,0,0
204,narrow,0,0,0,0,0
205,narrow,0,0,0,0,0
206,narrow,0,0,0,0,0
207,narrow,0,0,0,0,0
208,narrow,0,0,0,0,0
209,narrow,0,0,0,0,0
210,narrow,0,0,0,0,0
211,narrow,0,0,0,0,0
212,narrow,0,0,0,0,0
213,narrow,0,0,0,0,0
214,narrow,0,0,0,0,0
215,narrow,0,0,0,0,0
216,narrow,0,0,0,0,0
217,narrow,0,0,0,0,0
218,narrow,0,0,0,0,0
219,narrow,0,0,0,0,0
220,narrow,0,0,0,0,0
221,narrow,0,0,0,0,0
222,narrow,0,0,0,0,0
223,narrow,0,0,0,0,0
224,narrow,0,0,0,0,0
225,narrow,0,0,0,0,0
226,narrow,0,0,0,0,0
227,narrow,0,0,0,0,0
228,narrow,0,0,0,0,0
229,narrow,0,0,0,0,0
230,narrow,0,0,0,0,0
231,narrow,0,0,0,0,0
232,narrow,0,0,0,0,0
233,narrow,0,0,0,0,0
234,narrow,0,0,0,0,0
235,narrow,0,0,0,0,0
236,narrow,0,0,0,0,0
237,narrow,0,0,0,0,0
238,narrow,0,0,0,0,0
239,narrow,0,0,0,0,0
240,narrow,0,0,0,0,0
241,narrow,0,0,0,0,0
242,narrow,0,0,0,0,0
243,narrow,0,0,0,0,0
244,narrow,0,0,0,0,0
245,narrow,0,0,0,0,0
246,narrow,0,0,0,0,0
247,narrow,0,0,0,0,0
248,narrow,0,0,0,0,0
249,narrow,0,0,0,0,0
250,narrow,0,0,0,0,0
251,narrow,0,0,0,0,0
252,narrow,0,0,0,0,0
253,narrow,0,0,0,0,0
254,narrow,0,0,0,0,0
255,narrow,0,0,0,0,0
256,narrow,0,0,0,0,0
257,narrow,0,0,0,0,0
258,narrow,0,0,0,0,0
259,narrow,0,0,0,0,0
260,narrow,0,0,0,0,0
261,narrow,0,0,0,0,0
262,narrow,0,0,0,0,0
263,narrow,0,0,0,0,0
264,narrow,0,0,0,0,0
265,narrow,0,0,0,0,0
266,narrow,0,0,0,0,0
267,narrow,0,0,0,0,0
268,narrow,0,0,0,0,0
269,narrow,0,0,0,0,0
270,narrow,0,0,0,0,0
271,narrow,0,0,0,0,0
272,narrow,0,0,0,0,0
273,narrow,0,0,0,0,0
274,narrow,0,0,0,0,0
275,narrow,0,0,0,0,0
276,narrow,0,0,0,0,0
277,narrow,0,0,0,0,0
278,narrow,0,0,0,0,0
279,narrow,0,0,0,0,0
280,narrow,0,0,0,0,0
281,narrow,0,0,0,0,0
282,narrow,0,0,0,0,0
283,narrow,0,0,0,0,0
284,narrow,0,0,0,0,0
285,narrow,0,0,0,0,0
286,narrow,0,0,0,0,0
287,narrow,0,0,0,0,0
288,narrow,0,0,0,0,0
289,narrow,0,0,0,0,0
290,narrow,0,0,0,0,0
291,narrow,0,0,0,0,0
292,narrow,0,0,0,0,0
293,narrow,0,0,0,0,0
294,narrow,0,0,0,0,0
295,narrow,0,0,0,0,0
296,narrow,0,0,0,0,0
297,narrow,0,0,0,0,0
298,narrow,0,0,0,0,0
299,narrow,0,0,0,0,0
300,narrow,0,0,0,0,0
301,narrow,0,0,0,0,0
302,narrow,0,0,0,0,0
303,narrow,0,0,0,0,0
304,narrow,0,0,0,0,0
305,narrow,0,0,0,0,0
306,narrow,0,0,0,0,0
307,narrow,0,0,0,0,0
308,narrow,0,0,0,0,0
309,narrow,0,0,0,0,0
310,narrow,0,0,0,0,0
311,narrow,0,0,0,0,0
312,narrow,0,0,0,0,0
313,narrow,0,0,0,0,0
314,narrow,0,0,0,0,0
315,narrow,0,0,0,0,0
316,narrow,0,0,0,0,0
317,narrow,0,0,0,0,0
318,narrow,0,0,0,0,0
319,narrow,0,0,0,0,0
320,narrow,0,0,0,0,0
321,narrow,0,0,0,0,0
322,narrow,0,0,0,0,0
323,narrow,0,0,0,0,0
324,narrow,0,0,0,0,0
325,narrow,0,0,0,0,0
326,narrow,0,0,0,0,0
327,narrow,0,0,0,0,0
328,narrow,0,0,0,0,0
329,narrow,0,0,0,0,0
330,narrow,0,0,0,0,0
331,narrow,0,0,0,0,0
332,narrow,0,0,0,0,0
333,narrow,0,0,0,0,0
334,narrow,0,0,0,0,0
335,narrow,0,0,0,0,0
336,narrow,0,0,0,0,0
337,narrow,0,0,0,0,0
338,narrow,0,0,0,0,0
339,narrow,0,0,0,0,0
340,narrow,0,0,0,0,0
341,narrow,0,0,0,0,0
342,narrow,0,0,0,0,0
343,narrow,0,0,0,0,0
344,narrow,0,0,0,0,0
345,narrow,0,0,0,0,0
346,narrow,0,0,0,0,0
347,narrow,0,0,0,0,0
348,narrow,0,0,0,0,0
349,narrow,0,0,0,0,0
350,narrow,0,0,0,0,0
351,narrow,0,0,0,0,0
352,narrow,0,0,0,0,0
353,narrow,0,0,0,0,0
354,narrow,0,0,0,0,0
355,narrow,0,0,0,0,0
356,narrow,0,0,0,0,0
357,narrow,0,0,0,0,0
358,narrow,0,0,0,0,0
359,narrow,0,0,0,0,0
360,narrow,0,0,0,0,0
361,narrow,0,0,0,0,0
362,narrow,0,0,0,0,0
363,narrow,0,0,0,0,0
364,narrow,0,0,0,0,0
365,narrow,0,0,0,0,0
366,narrow,0,0,0,0,0
367,narrow,0,0,0,0,0
368,narrow,0,0,0,0,0
369,narrow,0,0,0,0,0
370,narrow,0,0,0,0,0
371,narrow,0,0,0,0,0
372,narrow,0,0,0,0,0
373,narrow,0,0,0,0,0
374,narrow,0,0,0,0,0
375,narrow,0,0,0,0,0
376,narrow,0,0,0,0,0
377,narrow,0,0,0,0,0
378,narrow,0,0,0,0,0
379,narrow,0,0,0,0,0
380,narrow,0,0,0,0,0
381,narrow,0,0,0,0,0
382,narrow,0,0,0,0,0
383,narrow,0,0,0,0,0
384,narrow,0,0,0,0,0
385,narrow,0,0,0,0,0
386,narrow,0,0,0,0,0
387,narrow,0,0,0,0,0
388,narrow,0,0,0,0,0
389,narrow,0,0,0,0,0
390,narrow,0,0,0,0,0
391,narrow,0,0,0,0,0
392,narrow,0,0,0,0,0
393,narrow,0,0,0,0,0
394,narrow,0,0,0,0,0
395,narrow,0,0,0,0,0
396,narrow,0,0,0,0,0
397,narrow,0,0,0,0,0
398,narrow,0,0,0,0,0
399,narrow,0,0,0,0,0
400,narrow,0,0,0,0,0
401,narrow,0,0,0,0,0
402,narrow,0,0,0,0,0
403,narrow,0,0,0,0,0
404,narrow,0,0,0,0,0
405,narrow,0,0,0,0,0
406,narrow,0,0,0,0,0
407,narrow,0,0,0,0,0
408,narrow,0,0,0,0,0
409,narrow,0,0,0,0,0
410,narrow,0,0,0,0,0
411,narrow,0,0,0,0,0
412,narrow,0,0,0,0,0
413,narrow,0,0,0,0,0
414,narrow,0,0,0,0,0
415,narrow,0,0,0,0,0
416,narrow,0,0,0,0,0
417,narrow,0,0,0,0,0
418,narrow,0,0,0,0,0
419,narrow,0,0,0,0,0
420,narrow,0,0,0,0,0
421,narrow,0,0,0,0,0
422,narrow,0,0,0,0,0
423,narrow,0,0,0,0,0
424,narrow,0,0,0,0,0
425,narrow,0,0,0,0,0
426,narrow,0,0,0,0,0
427,narrow,0,0,0,0,0
428,narrow,0,0,0,0,0
429,narrow,0,0,0,0,0
430,narrow,0,1,0,0.0,0
431,narrow,0,1,0,0.0,0
432,narrow,0,0,0,0,0
433,narrow,0,1,0,0.0,0
434,narrow,0,0,0,0,0
435,narrow,0,1,0,0.0,0
436,narrow,0,0,0,0,0
437,narrow,0,1,0,0.0,0
438,narrow,0,0,0,0,0
439,narrow,0,1,0,0.0,0
440,narrow,0,0,0,0,0
441,narrow,0,0,0,0,0
442,narrow,0,0,0,0,0
443,narrow,0,0,0,0,0
444,narrow,0,0,0,0,0
445,narrow,0,0,0,0,0
446,narrow,0,0,0,0,0
447,narrow,0,0,0,0,0
448,narrow,0,0,0,0,0
449,narrow,0,0,0,0,0
450,narrow,0,0,0,0,0
451,narrow,0,0,0,0,0
452,narrow,0,0,0,0,0
453,narrow,0,0,0,0,0
454,narrow,0,0,0,0,0
455,narrow,0,0,0,0,0
456,narrow,0,0,0,0,0
457,narrow,0,0,0,0,0
458,narrow,0,0,0,0,0
459,narrow,0,0,0,0,0
460,narrow,0,0,0,0,0
461,narrow,0,0,0,0,0
462,narrow,0,0,0,0,0
463,narrow,0,0,0,0,0
464,narrow,0,0,0,0,0
465,narrow,0,0,0,0,0
466,narrow,0,0,0,0,0
467,narrow,0,0,0,0,0
468,narrow,0,0,0,0,0
469,narrow,0,0,0,0,0
470,narrow,0,0,0,0,0
471,narrow,0,0,0,0,0
472,narrow,0,0,0,0,0
473,narrow,0,0,0,0,0
474,narrow,0,0,0,0,0
475,narrow,0,0,0,0,0
476,narrow,0,0,0,0,0
477,narrow,0,0,0,0,0
478,narrow,0,0,0,0,0
479,narrow,0,0,0,0,0
480,narrow,0,0,0,0,0
481,narrow,0,0,0,0,0
482,narrow,0,0,0,0,0
483,narrow,0,0,0,0,0
484,narrow,0,0,0,0,0
485,narrow,0,0,0,0,0
486,narrow,0,0,0,0,0
487,narrow,0,0,0,0,0
488,narrow,0,0,0,0,0
489,narrow,0,1,0,0.0,0
490,narrow,0,0,0,0,0
491,narrow,0,0,0,0,0
492,narrow,0,1,0,0.0,0
493,narrow,0,0,0,0,0
494,narrow,0,0,0,0,0
495,narrow,0,0,0,0,0
496,narrow,0,0,0,0,0
497,narrow,0,1,0,0.0,0
498,narrow,0,1,0,0.0,0
499,narrow,0,1,0,0.0,0
500,narrow,0,1,0,0.0,0
501,narrow,0,1,0,0.0,0
502,narrow,0,1,0,0.0,0
503,narrow,0,1,0,0.0,0
504,narrow,0,1,0,0.0,0
505,narrow,0,1,0,0.0,0
506,narrow,0,1,0,0.0,0
507,narrow,0,1,0,0.0,0
508,narrow,0,1,0,0.0,0
509,narrow,0,1,0,0.0,0
510,narrow,0,1,0,0.0,0
511,narrow,0,1,0,0.0,0
512,narrow,0,1,0,0.0,0
513,narrow,0,1,0,0.0,0
514,narrow,0,1,0,0.0,0
515,narrow,0,1,0,0.0,0
516,narrow,0,1,0,0.0,0
517,narrow,0,1,0,0.0,0
518,narrow,0,1,0,0.0,0
519,narrow,0,1,0,0.0,0
520,narrow,0,1,0,0.0,0
521,narrow,0,1,0,0.0,0
522,narrow,0,1,0,0.0,0
523,narrow,0,1,0,0.0,0
524,narrow,0,0,0,0,0
525,narrow,0,0,0,0,0
526,narrow,0,0,0,0,0
527,narrow,0,0,0,0,0
528,narrow,0,0,0,0,0
529,narrow,0,0,0,0,0
530,narrow,0,0,0,0,0
531,narrow,0,0,0,0,0
532,narrow,0,0,0,0,0
533,narrow,0,0,0,0,0
534,narrow,0,0,0,0,0
535,narrow,0,0,0,0,0
536,narrow,0,0,0,0,0
537,narrow,0,0,0,0,0
538,narrow,0,0,0,0,0
539,narrow,0,0,0,0,0
540,narrow,0,0,0,0,0
541,narrow,0,0,0,0,0
542,narrow,0,0,0,0,0
543,narrow,0,0,0,0,0
544,narrow,0,0,0,0,0
545,narrow,0,0,0,0,0
546,narrow,0,0,0,0,0
547,narrow,0,0,0,0,0
548,narrow,0,0,0,0,0
549,narrow,0,0,0,0,0
550,narrow,0,0,0,0,0
551,narrow,0,0,0,0,0
552,narrow,0,1,0,0.0,0
553,narrow,0,1,0,0.0,0
554,narrow,0,1,0,0.0,0
555,narrow,0,1,0,0.0,0
556,narrow,0,0,0,0,0
557,narrow,0,0,0,0,0
